Data_Zone, SIMD_tot , Inc_rank , Emp_rank , Hlth_rank , Edu_rank , Hou_rank , Acc_rank , Crime_rank 
S01008605,0.88,0.74,0.86,0.97,0.73,0.29,0.81,0.65
S01008606,0.81,0.80,0.70,0.79,0.93,0.72,0.41,0.48
S01008607,0.90,0.66,0.81,0.77,1.00,0.90,0.71,0.63
S01008608,0.92,0.74,0.86,0.70,0.96,0.76,0.66,0.58
S01008609,0.67,0.58,0.70,0.57,0.88,0.77,0.28,0.66
S01008610,0.91,0.74,0.84,0.70,0.94,0.61,0.91,0.56
S01008611,0.94,0.80,0.89,0.96,0.88,0.21,0.83,0.78
S01008612,0.51,0.43,0.50,0.51,0.51,0.15,0.73,0.87
S01008613,0.76,0.72,0.73,0.73,0.65,0.39,0.85,0.55
S01008614,0.61,0.70,0.65,0.54,0.42,0.13,0.97,0.69
S01008615,0.87,0.78,0.74,0.67,0.88,0.17,0.95,0.92
S01008616,0.96,0.92,0.97,0.98,0.83,0.05,0.97,0.95
S01008617,0.98,0.99,1.00,0.95,0.86,0.15,0.90,0.82
S01008618,0.98,0.97,0.97,1.00,0.81,0.11,0.94,0.96
S01008619,0.86,0.73,0.82,0.88,0.60,0.20,0.82,0.99
S01008620,0.99,0.93,0.97,0.97,0.91,0.19,0.88,0.95
S01008621,0.99,0.92,0.95,0.99,0.90,0.19,0.96,0.98
S01008622,1.00,0.94,0.93,0.95,0.94,0.43,0.84,1.00
S01008623,0.97,0.95,0.99,0.99,0.84,0.26,0.74,0.82
S01008624,0.73,0.54,0.75,0.69,0.95,0.79,0.61,0.61
S01008625,0.66,0.73,0.62,0.77,0.98,0.88,0.25,0.24
S01008626,0.96,0.81,0.78,0.97,0.90,0.73,0.81,0.68
S01008627,0.98,1.00,1.00,0.75,0.98,0.93,0.66,0.45
S01008628,0.69,0.62,0.64,0.59,0.86,0.54,0.60,0.63
S01008629,0.67,0.58,0.55,0.70,0.75,0.50,0.91,0.79
S01008630,0.92,0.77,0.88,0.79,0.91,0.44,0.98,0.57
S01008631,0.62,0.57,0.47,0.60,0.87,0.20,0.99,0.77
S01008632,0.35,0.45,0.23,0.31,0.49,0.39,0.73,0.17
S01008633,0.64,0.64,0.55,0.55,0.81,0.82,0.46,0.56
S01008634,0.96,0.88,0.80,0.80,0.95,0.51,0.63,0.87
S01008635,0.87,0.74,0.74,0.87,0.83,0.67,0.78,0.45
S01008636,0.86,0.87,0.93,0.78,0.85,0.51,0.93,0.17
S01008637,0.94,0.69,0.89,0.73,0.84,0.50,0.96,0.90
S01008638,0.57,0.38,0.70,0.41,0.65,0.32,0.90,0.97
S01008639,0.61,0.56,0.51,0.55,0.71,0.35,0.82,0.74
S01008640,0.97,0.89,0.90,0.94,0.78,0.40,0.98,0.81
S01008641,0.99,0.93,0.96,0.98,1.00,0.20,1.00,0.91
S01008642,0.96,0.79,0.91,0.96,0.85,0.37,0.95,0.91
S01008643,0.88,0.66,0.68,0.93,0.87,0.44,0.84,0.96
S01008644,0.55,0.41,0.52,0.58,0.83,0.26,0.70,0.79
S01008645,0.81,0.58,0.91,0.93,0.58,0.31,0.95,0.97
S01008646,0.73,0.62,0.71,0.75,0.77,0.21,0.74,0.92
S01008647,0.69,0.58,0.64,0.84,0.66,0.24,0.80,0.80
S01008648,0.50,0.51,0.44,0.52,0.44,0.14,0.97,0.77
S01008649,0.48,0.44,0.45,0.36,0.66,0.03,0.67,0.85
S01008650,0.42,0.48,0.38,0.39,0.42,0.01,0.93,0.33
S01008651,0.38,0.45,0.43,0.36,0.27,0.02,0.81,0.28
S01008652,0.18,0.22,0.14,0.25,0.36,0.00,0.92,0.09
S01008653,0.26,0.24,0.30,0.28,0.18,0.03,0.97,0.30
S01008654,0.28,0.37,0.23,0.31,0.15,0.01,0.97,0.51
S01008655,0.36,0.42,0.39,0.37,0.24,0.11,0.94,0.20
S01008656,0.17,0.19,0.12,0.14,0.29,0.00,0.96,0.68
S01008657,0.33,0.33,0.28,0.31,0.30,0.44,0.80,0.56
S01008658,0.38,0.35,0.30,0.30,0.48,0.10,0.62,0.70
S01008659,0.30,0.34,0.33,0.27,0.26,0.08,0.88,0.15
S01008660,0.53,0.73,0.66,0.71,0.55,0.12,0.72,0.01
S01008661,0.42,0.41,0.42,0.45,0.41,0.04,0.88,0.24
S01008662,0.41,0.44,0.34,0.32,0.54,0.10,1.00,0.20
S01008663,0.29,0.33,0.29,0.23,0.47,0.05,0.98,0.03
S01008664,0.45,0.47,0.44,0.46,0.36,0.11,1.00,0.41
S01008665,0.44,0.44,0.43,0.46,0.40,0.06,0.99,0.28
S01008666,0.91,0.81,0.89,0.88,0.76,0.07,0.99,0.88
S01008667,0.64,0.59,0.63,0.67,0.71,0.22,0.87,0.31
S01008668,0.65,0.66,0.64,0.87,0.57,0.04,0.84,0.63
S01008669,0.77,0.94,0.94,0.94,0.57,0.09,0.89,0.29
S01008670,0.66,0.70,0.82,0.81,0.61,0.07,0.93,0.20
S01008671,0.61,0.58,0.61,0.58,0.79,0.06,0.94,0.41
S01008672,0.62,0.67,0.72,0.75,0.50,0.09,0.95,0.21
S01008673,0.40,0.51,0.45,0.48,0.45,0.04,0.59,0.03
S01008674,0.35,0.53,0.46,0.48,0.27,0.03,0.89,0.01
S01008675,0.26,0.35,0.23,0.27,0.30,0.02,0.67,0.12
S01008676,0.39,0.49,0.41,0.36,0.51,0.36,0.73,0.00
S01008677,0.28,0.44,0.32,0.33,0.26,0.04,0.51,0.00
S01008678,0.34,0.47,0.42,0.28,0.50,0.05,0.75,0.02
S01008679,0.16,0.19,0.12,0.12,0.56,0.03,0.79,0.01
S01008680,0.35,0.41,0.40,0.40,0.41,0.04,0.95,0.03
S01008681,0.24,0.32,0.37,0.34,0.08,0.08,0.96,0.06
S01008682,0.33,0.40,0.35,0.40,0.25,0.06,0.73,0.23
S01008683,0.19,0.21,0.21,0.18,0.20,0.09,0.53,0.25
S01008684,0.12,0.14,0.11,0.17,0.11,0.13,0.25,0.10
S01008685,0.16,0.20,0.17,0.10,0.13,0.21,0.46,0.11
S01008686,0.17,0.15,0.14,0.16,0.30,0.13,0.54,0.28
S01008687,0.29,0.45,0.44,0.57,0.06,0.03,0.12,0.56
S01008688,0.35,0.36,0.36,0.67,0.21,0.12,0.18,0.84
S01008689,0.42,0.47,0.46,0.44,0.39,0.08,0.89,0.14
S01008690,0.50,0.45,0.50,0.54,0.52,0.18,0.56,0.64
S01008691,0.31,0.33,0.31,0.47,0.28,0.07,0.37,0.22
S01008692,0.44,0.49,0.39,0.51,0.46,0.12,0.37,0.33
S01008693,0.50,0.54,0.50,0.42,0.39,0.68,0.32,0.70
S01008694,0.52,0.56,0.52,0.60,0.45,0.22,0.24,0.85
S01008695,0.49,0.46,0.51,0.50,0.36,0.53,0.64,0.70
S01008696,0.79,0.67,0.74,0.95,0.72,0.69,0.36,0.83
S01008697,0.68,0.63,0.63,0.81,0.72,0.75,0.35,0.58
S01008698,0.52,0.38,0.53,0.49,0.51,0.83,0.65,0.68
S01008699,0.24,0.21,0.20,0.28,0.26,0.42,0.47,0.60
S01008700,0.71,0.79,0.69,0.66,0.70,0.71,0.27,0.46
S01008701,0.10,0.14,0.11,0.04,0.11,0.30,0.43,0.17
S01008702,0.23,0.19,0.27,0.39,0.23,0.06,0.80,0.12
S01008703,0.03,0.02,0.04,0.03,0.02,0.34,0.71,0.15
S01008704,0.10,0.14,0.14,0.08,0.06,0.43,0.59,0.02
S01008705,0.05,0.03,0.08,0.07,0.03,0.48,0.79,0.41
S01008706,0.22,0.38,0.39,0.19,0.04,0.31,0.59,0.09
S01008707,0.01,0.01,0.02,0.01,0.01,0.39,0.40,0.24
S01008708,0.02,0.04,0.01,0.01,0.01,0.36,0.27,0.33
S01008709,0.06,0.08,0.08,0.07,0.01,0.25,0.31,0.52
S01008710,0.00,0.00,0.00,0.00,0.03,0.18,0.23,0.09
S01008711,0.04,0.02,0.07,0.07,0.02,0.38,0.40,0.34
S01008712,0.01,0.02,0.01,0.01,0.00,0.32,0.38,0.10
S01008713,0.01,0.00,0.02,0.05,0.01,0.29,0.63,0.31
S01008714,0.10,0.12,0.06,0.14,0.10,0.39,0.71,0.21
S01008715,0.12,0.12,0.12,0.13,0.12,0.39,0.38,0.30
S01008716,0.12,0.08,0.13,0.18,0.09,0.53,0.20,0.58
S01008717,0.41,0.30,0.43,0.45,0.31,0.69,0.82,0.37
S01008718,0.43,0.43,0.49,0.38,0.32,0.44,0.70,0.30
S01008719,0.34,0.33,0.46,0.35,0.17,0.58,0.31,0.73
S01008720,0.23,0.28,0.24,0.21,0.29,0.36,0.16,0.15
S01008721,0.58,0.76,0.69,0.65,0.54,0.81,0.01,0.75
S01008722,0.47,0.46,0.43,0.33,0.63,0.81,0.16,0.81
S01008723,0.63,0.79,0.61,0.69,0.50,0.71,0.09,0.93
S01008724,0.60,0.56,0.60,0.45,0.64,0.78,0.27,0.79
S01008725,0.48,0.52,0.41,0.40,0.62,0.62,0.32,0.37
S01008726,1.00,0.99,0.96,0.87,0.89,0.97,0.48,0.84
S01008727,0.61,0.57,0.52,0.49,0.72,0.65,0.60,0.79
S01008728,0.21,0.16,0.19,0.28,0.23,0.33,0.86,0.51
